Country,sex,age,data,start_year,end_year,rsq,period
Canada,female,23,"<df[,2]>",1991,2018,0.09387376162127507,1991 onwards
Canada,female,24,"<df[,2]>",1975,1990,0.711463275014551,1975-1990
Canada,female,24,"<df[,2]>",1975,2018,0.6797286603287064,1975 onwards
Canada,female,24,"<df[,2]>",1991,2018,0.2496624785953766,1991 onwards
Canada,female,25,"<df[,2]>",1975,1990,0.7106930626489403,1975-1990
Canada,female,25,"<df[,2]>",1975,2018,0.533272592472949,1975 onwards
Canada,female,25,"<df[,2]>",1991,2018,0.07320807535825925,1991 onwards
Canada,female,26,"<df[,2]>",1975,1990,0.6174391414366383,1975-1990
Canada,female,26,"<df[,2]>",1975,2018,0.5975177532810589,1975 onwards
Canada,female,26,"<df[,2]>",1991,2018,0.07692777586310146,1991 onwards
Canada,female,27,"<df[,2]>",1975,1990,0.45899549191691813,1975-1990
Canada,female,27,"<df[,2]>",1975,2018,0.5960824403187106,1975 onwards
Canada,female,27,"<df[,2]>",1991,2018,0.11801365680372203,1991 onwards
Canada,female,28,"<df[,2]>",1975,1990,0.5209909914630111,1975-1990
Canada,female,28,"<df[,2]>",1975,2018,0.601844001426388,1975 onwards
Canada,female,28,"<df[,2]>",1991,2018,0.29032632680970183,1991 onwards
Canada,female,29,"<df[,2]>",1975,1990,0.6812681979024933,1975-1990
Canada,female,29,"<df[,2]>",1975,2018,0.6039059544629304,1975 onwards
Canada,female,29,"<df[,2]>",1991,2018,0.10250436777030869,1991 onwards
Canada,female,30,"<df[,2]>",1975,1990,0.5915256514557348,1975-1990
Canada,female,30,"<df[,2]>",1975,2018,0.7085746453240016,1975 onwards
Canada,female,30,"<df[,2]>",1991,2018,0.20848082152433958,1991 onwards
Canada,female,31,"<df[,2]>",1975,1990,0.37787442324010156,1975-1990
Canada,female,31,"<df[,2]>",1975,2018,0.5429760034440448,1975 onwards
Canada,female,31,"<df[,2]>",1991,2018,0.2912653883066809,1991 onwards
Canada,female,32,"<df[,2]>",1975,1990,0.6769865202146703,1975-1990
Canada,female,32,"<df[,2]>",1975,2018,0.7186999164125163,1975 onwards
Canada,female,32,"<df[,2]>",1991,2018,0.3332826784479865,1991 onwards
Canada,female,33,"<df[,2]>",1975,1990,0.7327486671882104,1975-1990
Canada,female,33,"<df[,2]>",1975,2018,0.6667155849909072,1975 onwards
Canada,female,33,"<df[,2]>",1991,2018,0.033611801339658,1991 onwards
Canada,female,34,"<df[,2]>",1975,1990,0.7267759881592079,1975-1990
Canada,female,34,"<df[,2]>",1975,2018,0.7784673205031928,1975 onwards
Canada,female,34,"<df[,2]>",1991,2018,0.312304674260519,1991 onwards
Canada,female,35,"<df[,2]>",1975,1990,0.716526710280196,1975-1990
Canada,female,35,"<df[,2]>",1975,2018,0.8053683426965069,1975 onwards
Canada,female,35,"<df[,2]>",1991,2018,0.5690833419679303,1991 onwards
