Country,sex,year,x.int,x,mx,qx,ax,lx,dx,Lx,Tx,ex
Japan,female,1947,"[0,1)",0,0.083595,0.08019629883112023,0.49303456121534417,100000,8019.629883112022,95934.32481741758,5363610.358004505,53.636103580045045
Japan,female,1947,"[1,2)",1,0.035643,0.035015268453567394,0.4970298128893553,91980.37011688798,3220.7173521013174,90360.44530767108,5267676.033187087,57.2695676968136
Japan,female,1947,"[2,3)",2,0.017271,0.017122711205359686,0.49856075715505455,88759.65276478666,1519.8059009794524,87997.56244452824,5177315.587879416,58.32960615111144
Japan,female,1947,"[3,4)",3,0.011227000000000001,0.011164212427197784,0.4990644186316757,87239.84686380721,973.9641825037397,86751.95354981277,5089318.025434888,58.337081143436414
Japan,female,1947,"[4,5)",4,0.007023,0.0069983963662993975,0.499414750480895,86265.88268130347,603.7228398924635,85963.66793285552,5002566.0718850745,57.990087348509654
Japan,female,1947,"[5,6)",5,0.00483,0.004818354307109862,0.4995975001582167,85662.159841411,412.7506368281902,85455.61839093089,4916602.4039522195,57.395265459737146
Japan,female,1947,"[6,7)",6,0.003674,0.0036672591198581017,0.49969383340220475,85249.40920458281,312.63167336801416,85092.99765052302,4831146.785561289,56.67073626243474
Japan,female,1947,"[7,8)",7,0.002873,0.002868876885014915,0.49976058336125107,84936.7775312148,243.6731577469618,84814.88261293294,4746053.787910765,55.87748824314132
Japan,female,1947,"[8,9)",8,0.00222,0.002217537622496435,0.4998150000218402,84693.10437346784,187.81014531417168,84599.16455593797,4661238.905297833,55.03681722119136
Japan,female,1947,"[9,10)",9,0.002017,0.0020149672224337722,0.49983191666962057,84505.29422815367,170.27539799184888,84420.12790870176,4576639.740741895,54.15802385570711
Japan,female,1947,"[10,11)",10,0.001833,0.0018313210814758785,0.4998472500042226,84335.01883016182,154.44449789034843,84257.77298982024,4492219.612833193,53.266361650785356
Japan,female,1947,"[11,12)",11,0.001698,0.001696559213600457,0.4998584999987088,84180.57433227147,142.81732898959308,84109.14545912444,4407961.839843373,52.36317137068446
Japan,female,1947,"[12,13)",12,0.001848,0.0018462934993662694,0.499846000012667,84037.75700328188,155.15836445648165,83960.15392666748,4323852.694384248,51.451310084530114
Japan,female,1947,"[13,14)",13,0.001898,0.001896199937019949,0.49984183334288446,83882.5986388254,159.05817825601844,83803.04439199704,4239892.54045758,50.54555544605087
Japan,female,1947,"[14,15)",14,0.002374,0.0023711842906054548,0.4998021666885961,83723.54046056938,198.52394389396068,83624.23921397318,4156089.4960655835,49.640632409984434
Japan,female,1947,"[15,16)",15,0.003222,0.0032168149282619796,0.49973150005035905,83525.01651667542,268.68452001418336,83390.60211488823,4072465.2568516103,48.7574313264405
