Country,sex,year,e_dagger
Canada,female,1975,11.756806004610505
Canada,female,1976,11.483123268105821
Canada,female,1977,11.59081188353486
Canada,female,1978,11.516299136946207
Canada,female,1979,11.562831359284084
Canada,female,1980,11.358222923673704
Canada,female,1981,11.310987016780928
Canada,female,1982,11.119151909792114
Canada,female,1983,11.063393454049539
Canada,female,1984,10.978259456388896
Canada,female,1985,10.916167195355802
Canada,female,1986,10.838090598960056
Canada,female,1987,10.753041727444735
Canada,female,1988,10.67528950617522
Canada,female,1989,10.71193966682905
Canada,female,1990,10.60895619065917
Canada,female,1991,10.546582219837504
Canada,female,1992,10.523018827278072
Canada,female,1993,10.465186024011995
Canada,female,1994,10.420663941888922
Canada,female,1995,10.383274012431857
Canada,female,1996,10.28713423797845
Canada,female,1997,10.165733975778663
Canada,female,1998,10.095133955033072
Canada,female,1999,10.032810973926692
Canada,female,2000,10.04223170481048
Canada,female,2001,9.999249694619767
Canada,female,2002,10.013778843661475
Canada,female,2003,9.97724157162422
Canada,female,2004,9.927653903221074
Canada,female,2005,9.951102561153247
Canada,female,2006,9.933020010042096
Canada,female,2007,9.894734254494999
Canada,female,2008,9.910188036584232
Canada,female,2009,9.904623962118475
Canada,female,2010,9.803651645090593
Canada,female,2011,9.789425448496596
Canada,female,2012,9.839882646420842
Canada,female,2013,9.800743084664829
Canada,female,2014,9.784800188391822
Canada,female,2015,9.826316657100369
Canada,female,2016,9.942105151052452
France,female,1975,10.927528546753058
France,female,1976,10.82924794611048
France,female,1977,10.828248154024221
France,female,1978,10.685293403748734
France,female,1979,10.659080513048316
France,female,1980,10.583810018488188
France,female,1981,10.440596090036381
France,female,1982,10.4887566122736
France,female,1983,10.342880246301128
France,female,1984,10.352139301791544
France,female,1985,10.22060808832563
France,female,1986,10.198306471617625
France,female,1987,10.205919796151132
France,female,1988,10.220494454987774
France,female,1989,10.111292329637317
France,female,1990,10.019797346014627
France,female,1991,10.088456575770332
France,female,1992,10.055874700930959
France,female,1993,10.008594736250988
France,female,1994,10.03316402300492
France,female,1995,9.93580028891961
France,female,1996,9.843128975034816
France,female,1997,9.771667924039642
France,female,1998,9.727457390845508
France,female,1999,9.651045989642975
France,female,2000,9.6304204456129
France,female,2001,9.645367431753959
France,female,2002,9.569143001111984
France,female,2003,9.405056033767517
France,female,2004,9.56770599155855
France,female,2005,9.404381209748106
France,female,2006,9.488985440381954
France,female,2007,9.396916111685863
France,female,2008,9.400974075502557
France,female,2009,9.386804367942005
France,female,2010,9.3339288179473
France,female,2011,9.310701381798207
France,female,2012,9.162762267751523
France,female,2013,9.196456950558487
France,female,2014,9.229362955042697
France,female,2015,9.119959638902605
France,female,2016,9.143457253256285
France,female,2017,9.11161138203639
Japan,female,1975,10.204834997505005
Japan,female,1976,10.036853928365563
Japan,female,1977,10.043140799972615
Japan,female,1978,9.956116515063455
Japan,female,1979,9.924955144857757
Japan,female,1980,9.723579602821873
Japan,female,1981,9.701535013003006
Japan,female,1982,9.741743567708827
Japan,female,1983,9.614699923557607
Japan,female,1984,9.608217263233902
Japan,female,1985,9.533117645434334
Japan,female,1986,9.50269131228925
Japan,female,1987,9.47828185283296
Japan,female,1988,9.356368888322903
Japan,female,1989,9.39846204513925
Japan,female,1990,9.295802120679063
Japan,female,1991,9.350720041489486
Japan,female,1992,9.38226567974479
Japan,female,1993,9.36413474853765
Japan,female,1994,9.329642817731305
Japan,female,1995,9.420081356024824
Japan,female,1996,9.426640860177617
Japan,female,1997,9.402506930340358
Japan,female,1998,9.475643296456388
Japan,female,1999,9.361841975819102
Japan,female,2000,9.407266508047618
Japan,female,2001,9.356493627413021
Japan,female,2002,9.358654771459264
Japan,female,2003,9.319855316823087
Japan,female,2004,9.29211995682329
Japan,female,2005,9.224962856056553
Japan,female,2006,9.197410511216054
Japan,female,2007,9.14292229113189
Japan,female,2008,9.088567908335909
Japan,female,2009,9.029192448567883
Japan,female,2010,8.951649625940886
Japan,female,2011,9.169166030982938
Japan,female,2012,8.818403720143962
Japan,female,2013,8.767951706064437
Japan,female,2014,8.790233702188686
Japan,female,2015,8.693838990106576
Japan,female,2016,8.685616212365533
Japan,female,2017,8.592298723039661
United Kingdom,female,1975,11.238120146606567
United Kingdom,female,1976,11.029327804767096
United Kingdom,female,1977,11.138137640137058
United Kingdom,female,1978,11.198230281866156
United Kingdom,female,1979,11.066330492041576
United Kingdom,female,1980,11.048784491287947
United Kingdom,female,1981,10.891749972562936
United Kingdom,female,1982,10.851678841555318
