code,year,sex,e0,Country,ch_e0
GBR_NP,1985,female,77.36,United Kingdom,-0.18999999999999773
USA,1985,female,78.18,USA,0.010000000000005116
CAN,1985,male,73.03,Canada,0.01999999999999602
FRATNP,1985,male,71.24,France,0.09999999999999432
JPN,1985,male,74.9,Japan,0.29000000000000625
GBR_NP,1985,male,71.61,United Kingdom,-0.07000000000000739
USA,1985,male,71.08,USA,-0.04000000000000625
CAN,1986,female,79.79,Canada,0.060000000000002274
FRATNP,1986,female,79.71,France,0.2599999999999909
JPN,1986,female,80.98,Japan,0.4300000000000068
GBR_NP,1986,female,77.67,United Kingdom,0.3100000000000023
USA,1986,female,78.27,USA,0.0899999999999892
CAN,1986,male,73.23,Canada,0.20000000000000284
FRATNP,1986,male,71.5,France,0.2600000000000051
JPN,1986,male,75.28,Japan,0.37999999999999545
GBR_NP,1986,male,71.82,United Kingdom,0.20999999999999375
USA,1986,male,71.14,USA,0.060000000000002274
CAN,1987,female,80.11,Canada,0.3199999999999932
FRATNP,1987,female,80.29,France,0.5800000000000125
JPN,1987,female,81.43,Japan,0.45000000000000284
GBR_NP,1987,female,77.96,United Kingdom,0.28999999999999204
USA,1987,female,78.36,USA,0.09000000000000341
CAN,1987,male,73.51,Canada,0.28000000000000114
FRATNP,1987,male,72.03,France,0.5300000000000011
JPN,1987,male,75.65,Japan,0.37000000000000455
GBR_NP,1987,male,72.21,United Kingdom,0.39000000000000057
USA,1987,male,71.31,USA,0.1700000000000017
CAN,1988,female,80.19,Canada,0.0799999999999983
FRATNP,1988,female,80.48,France,0.18999999999999773
JPN,1988,female,81.33,Japan,-0.10000000000000853
GBR_NP,1988,female,78.06,United Kingdom,0.10000000000000853
USA,1988,female,78.31,USA,-0.04999999999999716
CAN,1988,male,73.57,Canada,0.05999999999998806
FRATNP,1988,male,72.32,France,0.28999999999999204
JPN,1988,male,75.59,Japan,-0.060000000000002274
GBR_NP,1988,male,72.34,United Kingdom,0.13000000000000966
USA,1988,male,71.32,USA,0.009999999999990905
CAN,1989,female,80.39,Canada,0.20000000000000284
FRATNP,1989,female,80.66,France,0.1799999999999926
JPN,1989,female,81.8,Japan,0.46999999999999886
GBR_NP,1989,female,78.08,United Kingdom,0.01999999999999602
USA,1989,female,78.56,USA,0.25
CAN,1989,male,73.87,Canada,0.30000000000001137
FRATNP,1989,male,72.45,France,0.13000000000000966
JPN,1989,male,75.97,Japan,0.37999999999999545
GBR_NP,1989,male,72.58,United Kingdom,0.23999999999999488
USA,1989,male,71.6,USA,0.28000000000000114
CAN,1990,female,80.63,Canada,0.23999999999999488
FRATNP,1990,female,80.97,France,0.3100000000000023
JPN,1990,female,81.87,Japan,0.07000000000000739
GBR_NP,1990,female,78.5,United Kingdom,0.4200000000000017
USA,1990,female,78.85,USA,0.28999999999999204
CAN,1990,male,74.23,Canada,0.35999999999999943
FRATNP,1990,male,72.72,France,0.269999999999996
JPN,1990,male,75.95,Japan,-0.01999999999999602
GBR_NP,1990,male,72.84,United Kingdom,0.2600000000000051
USA,1990,male,71.85,USA,0.25
CAN,1991,female,80.73,Canada,0.10000000000000853
FRATNP,1991,female,81.17,France,0.20000000000000284
JPN,1991,female,82.17,Japan,0.29999999999999716
GBR_NP,1991,female,78.61,United Kingdom,0.10999999999999943
USA,1991,female,78.97,USA,0.12000000000000455
CAN,1991,male,74.44,Canada,0.20999999999999375
FRATNP,1991,male,72.88,France,0.1599999999999966
JPN,1991,male,76.16,Japan,0.20999999999999375
GBR_NP,1991,male,73.08,United Kingdom,0.23999999999999488
USA,1991,male,72.03,USA,0.18000000000000682
CAN,1992,female,80.98,Canada,0.25
FRATNP,1992,female,81.46,France,0.28999999999999204
JPN,1992,female,82.3,Japan,0.12999999999999545
GBR_NP,1992,female,78.96,United Kingdom,0.3499999999999943
USA,1992,female,79.18,USA,0.21000000000000796
CAN,1992,male,74.69,Canada,0.25
FRATNP,1992,male,73.15,France,0.27000000000001023
JPN,1992,male,76.14,Japan,-0.01999999999999602
GBR_NP,1992,male,73.51,United Kingdom,0.4300000000000068
USA,1992,male,72.32,USA,0.28999999999999204
CAN,1993,female,80.79,Canada,-0.18999999999999773
FRATNP,1993,female,81.46,France,0
JPN,1993,female,82.45,Japan,0.15000000000000568
GBR_NP,1993,female,78.77,United Kingdom,-0.18999999999999773
