code,year,sex,e0,Country
CAN,1975,female,77.23,Canada
CAN,1976,female,77.67,Canada
CAN,1977,female,77.96,Canada
CAN,1978,female,78.32,Canada
CAN,1979,female,78.59,Canada
CAN,1980,female,78.72,Canada
CAN,1981,female,79.11,Canada
CAN,1982,female,79.23,Canada
CAN,1983,female,79.55,Canada
CAN,1984,female,79.78,Canada
CAN,1985,female,79.73,Canada
CAN,1986,female,79.79,Canada
CAN,1987,female,80.11,Canada
CAN,1988,female,80.19,Canada
CAN,1989,female,80.39,Canada
CAN,1990,female,80.63,Canada
CAN,1991,female,80.73,Canada
CAN,1992,female,80.98,Canada
CAN,1993,female,80.79,Canada
CAN,1994,female,80.89,Canada
CAN,1995,female,80.97,Canada
CAN,1996,female,81.1,Canada
CAN,1997,female,81.2,Canada
CAN,1998,female,81.36,Canada
CAN,1999,female,81.57,Canada
CAN,2000,female,81.78,Canada
CAN,2001,female,81.95,Canada
CAN,2002,female,81.95,Canada
CAN,2003,female,82.15,Canada
CAN,2004,female,82.37,Canada
CAN,2005,female,82.44,Canada
CAN,2006,female,82.83,Canada
CAN,2007,female,82.83,Canada
CAN,2008,female,82.97,Canada
CAN,2009,female,83.26,Canada
CAN,2010,female,83.5,Canada
CAN,2011,female,83.65,Canada
CAN,2012,female,83.81,Canada
CAN,2013,female,83.88,Canada
CAN,2014,female,83.98,Canada
CAN,2015,female,84.03,Canada
CAN,2016,female,84.18,Canada
FRATNP,1975,female,76.87,France
FRATNP,1976,female,77.2,France
FRATNP,1977,female,77.84,France
FRATNP,1978,female,77.96,France
FRATNP,1979,female,78.28,France
FRATNP,1980,female,78.4,France
FRATNP,1981,female,78.5,France
FRATNP,1982,female,78.89,France
FRATNP,1983,female,78.82,France
FRATNP,1984,female,79.35,France
FRATNP,1985,female,79.45,France
FRATNP,1986,female,79.71,France
FRATNP,1987,female,80.29,France
FRATNP,1988,female,80.48,France
FRATNP,1989,female,80.66,France
FRATNP,1990,female,80.97,France
FRATNP,1991,female,81.17,France
FRATNP,1992,female,81.46,France
FRATNP,1993,female,81.46,France
FRATNP,1994,female,81.89,France
FRATNP,1995,female,81.9,France
FRATNP,1996,female,82.05,France
FRATNP,1997,female,82.31,France
FRATNP,1998,female,82.41,France
FRATNP,1999,female,82.51,France
FRATNP,2000,female,82.8,France
FRATNP,2001,female,82.94,France
FRATNP,2002,female,83.03,France
FRATNP,2003,female,82.95,France
FRATNP,2004,female,83.86,France
FRATNP,2005,female,83.82,France
FRATNP,2006,female,84.17,France
FRATNP,2007,female,84.37,France
FRATNP,2008,female,84.32,France
FRATNP,2009,female,84.41,France
FRATNP,2010,female,84.65,France
FRATNP,2011,female,84.99,France
FRATNP,2012,female,84.84,France
FRATNP,2013,female,85.04,France
FRATNP,2014,female,85.43,France
FRATNP,2015,female,85.14,France
FRATNP,2016,female,85.32,France
FRATNP,2017,female,85.28,France
JPN,1975,female,76.88,Japan
JPN,1976,female,77.29,Japan
JPN,1977,female,77.86,Japan
JPN,1978,female,78.22,Japan
JPN,1979,female,78.76,Japan
JPN,1980,female,78.77,Japan
JPN,1981,female,79.17,Japan
JPN,1982,female,79.73,Japan
JPN,1983,female,79.83,Japan
JPN,1984,female,80.26,Japan
JPN,1985,female,80.55,Japan
JPN,1986,female,80.98,Japan
JPN,1987,female,81.43,Japan
JPN,1988,female,81.33,Japan
JPN,1989,female,81.8,Japan
JPN,1990,female,81.87,Japan
JPN,1991,female,82.17,Japan
JPN,1992,female,82.3,Japan
JPN,1993,female,82.45,Japan
JPN,1994,female,82.9,Japan
JPN,1995,female,82.78,Japan
JPN,1996,female,83.5,Japan
JPN,1997,female,83.74,Japan
JPN,1998,female,83.93,Japan
JPN,1999,female,83.92,Japan
JPN,2000,female,84.53,Japan
JPN,2001,female,84.86,Japan
JPN,2002,female,85.16,Japan
JPN,2003,female,85.26,Japan
JPN,2004,female,85.52,Japan
JPN,2005,female,85.44,Japan
JPN,2006,female,85.73,Japan
JPN,2007,female,85.91,Japan
JPN,2008,female,85.98,Japan
JPN,2009,female,86.36,Japan
JPN,2010,female,86.27,Japan
JPN,2011,female,85.89,Japan
JPN,2012,female,86.4,Japan
JPN,2013,female,86.6,Japan
JPN,2014,female,86.81,Japan
JPN,2015,female,87.02,Japan
JPN,2016,female,87.17,Japan
JPN,2017,female,87.31,Japan
GBR_NP,1975,female,75.71,United Kingdom
GBR_NP,1976,female,75.68,United Kingdom
GBR_NP,1977,female,76.14,United Kingdom
GBR_NP,1978,female,76.07,United Kingdom
GBR_NP,1979,female,76.19,United Kingdom
GBR_NP,1980,female,76.57,United Kingdom
GBR_NP,1981,female,76.88,United Kingdom
GBR_NP,1982,female,76.94,United Kingdom
GBR_NP,1983,female,77.22,United Kingdom
GBR_NP,1984,female,77.55,United Kingdom
GBR_NP,1985,female,77.36,United Kingdom
GBR_NP,1986,female,77.67,United Kingdom
GBR_NP,1987,female,77.96,United Kingdom
GBR_NP,1988,female,78.06,United Kingdom
GBR_NP,1989,female,78.08,United Kingdom
GBR_NP,1990,female,78.5,United Kingdom
GBR_NP,1991,female,78.61,United Kingdom
GBR_NP,1992,female,78.96,United Kingdom
GBR_NP,1993,female,78.77,United Kingdom
GBR_NP,1994,female,79.31,United Kingdom
GBR_NP,1995,female,79.19,United Kingdom
GBR_NP,1996,female,79.41,United Kingdom
GBR_NP,1997,female,79.59,United Kingdom
GBR_NP,1998,female,79.72,United Kingdom
GBR_NP,1999,female,79.76,United Kingdom
GBR_NP,2000,female,80.2,United Kingdom
GBR_NP,2001,female,80.43,United Kingdom
GBR_NP,2002,female,80.52,United Kingdom
GBR_NP,2003,female,80.49,United Kingdom
GBR_NP,2004,female,81.06,United Kingdom
