code,year,sex,e0,Country
GBR_NP,2005,female,81.2,United Kingdom
GBR_NP,2006,female,81.48,United Kingdom
GBR_NP,2007,female,81.62,United Kingdom
GBR_NP,2008,female,81.68,United Kingdom
GBR_NP,2009,female,82.2,United Kingdom
GBR_NP,2010,female,82.34,United Kingdom
GBR_NP,2011,female,82.72,United Kingdom
GBR_NP,2012,female,82.67,United Kingdom
GBR_NP,2013,female,82.77,United Kingdom
GBR_NP,2014,female,82.99,United Kingdom
GBR_NP,2015,female,82.72,United Kingdom
GBR_NP,2016,female,82.84,United Kingdom
USA,1975,female,76.46,USA
USA,1976,female,76.68,USA
USA,1977,female,77.09,USA
USA,1978,female,77.23,USA
USA,1979,female,77.66,USA
USA,1980,female,77.48,USA
USA,1981,female,77.8,USA
USA,1982,female,78.08,USA
USA,1983,female,78.09,USA
USA,1984,female,78.17,USA
USA,1985,female,78.18,USA
USA,1986,female,78.27,USA
USA,1987,female,78.36,USA
USA,1988,female,78.31,USA
USA,1989,female,78.56,USA
USA,1990,female,78.85,USA
USA,1991,female,78.97,USA
USA,1992,female,79.18,USA
USA,1993,female,78.94,USA
USA,1994,female,79.06,USA
USA,1995,female,79.09,USA
USA,1996,female,79.22,USA
USA,1997,female,79.38,USA
USA,1998,female,79.43,USA
USA,1999,female,79.35,USA
USA,2000,female,79.44,USA
USA,2001,female,79.53,USA
USA,2002,female,79.6,USA
USA,2003,female,79.72,USA
USA,2004,female,80.09,USA
USA,2005,female,80.11,USA
USA,2006,female,80.38,USA
USA,2007,female,80.62,USA
USA,2008,female,80.67,USA
USA,2009,female,81,USA
USA,2010,female,81.18,USA
USA,2011,female,81.2,USA
USA,2012,female,81.33,USA
USA,2013,female,81.35,USA
USA,2014,female,81.44,USA
USA,2015,female,81.32,USA
USA,2016,female,81.37,USA
USA,2017,female,81.38,USA
CAN,1975,male,70,Canada
CAN,1976,male,70.38,Canada
CAN,1977,male,70.63,Canada
CAN,1978,male,70.91,Canada
CAN,1979,male,71.31,Canada
CAN,1980,male,71.6,Canada
CAN,1981,male,72.01,Canada
CAN,1982,male,72.29,Canada
CAN,1983,male,72.69,Canada
CAN,1984,male,73.01,Canada
CAN,1985,male,73.03,Canada
CAN,1986,male,73.23,Canada
CAN,1987,male,73.51,Canada
CAN,1988,male,73.57,Canada
CAN,1989,male,73.87,Canada
CAN,1990,male,74.23,Canada
CAN,1991,male,74.44,Canada
CAN,1992,male,74.69,Canada
CAN,1993,male,74.63,Canada
CAN,1994,male,74.87,Canada
CAN,1995,male,75.01,Canada
CAN,1996,male,75.38,Canada
CAN,1997,male,75.66,Canada
CAN,1998,male,75.91,Canada
CAN,1999,male,76.12,Canada
CAN,2000,male,76.59,Canada
CAN,2001,male,76.85,Canada
CAN,2002,male,77.08,Canada
CAN,2003,male,77.22,Canada
CAN,2004,male,77.59,Canada
CAN,2005,male,77.73,Canada
CAN,2006,male,78.17,Canada
CAN,2007,male,78.2,Canada
CAN,2008,male,78.43,Canada
CAN,2009,male,78.82,Canada
CAN,2010,male,79.15,Canada
CAN,2011,male,79.38,Canada
CAN,2012,male,79.62,Canada
CAN,2013,male,79.76,Canada
CAN,2014,male,79.81,Canada
CAN,2015,male,79.94,Canada
CAN,2016,male,80.05,Canada
FRATNP,1975,male,69.02,France
FRATNP,1976,male,69.15,France
FRATNP,1977,male,69.7,France
FRATNP,1978,male,69.82,France
FRATNP,1979,male,70.05,France
FRATNP,1980,male,70.15,France
FRATNP,1981,male,70.37,France
FRATNP,1982,male,70.71,France
FRATNP,1983,male,70.73,France
FRATNP,1984,male,71.14,France
FRATNP,1985,male,71.24,France
FRATNP,1986,male,71.5,France
FRATNP,1987,male,72.03,France
FRATNP,1988,male,72.32,France
FRATNP,1989,male,72.45,France
FRATNP,1990,male,72.72,France
FRATNP,1991,male,72.88,France
FRATNP,1992,male,73.15,France
FRATNP,1993,male,73.25,France
FRATNP,1994,male,73.64,France
FRATNP,1995,male,73.84,France
FRATNP,1996,male,74.06,France
FRATNP,1997,male,74.51,France
FRATNP,1998,male,74.72,France
FRATNP,1999,male,74.94,France
FRATNP,2000,male,75.24,France
FRATNP,2001,male,75.43,France
FRATNP,2002,male,75.71,France
FRATNP,2003,male,75.81,France
FRATNP,2004,male,76.68,France
FRATNP,2005,male,76.72,France
FRATNP,2006,male,77.16,France
FRATNP,2007,male,77.39,France
FRATNP,2008,male,77.59,France
FRATNP,2009,male,77.75,France
FRATNP,2010,male,78.01,France
FRATNP,2011,male,78.43,France
FRATNP,2012,male,78.49,France
FRATNP,2013,male,78.77,France
FRATNP,2014,male,79.27,France
FRATNP,2015,male,79.02,France
FRATNP,2016,male,79.32,France
FRATNP,2017,male,79.44,France
JPN,1975,male,71.76,Japan
JPN,1976,male,72.14,Japan
JPN,1977,male,72.68,Japan
JPN,1978,male,72.97,Japan
JPN,1979,male,73.44,Japan
JPN,1980,male,73.4,Japan
JPN,1981,male,73.82,Japan
JPN,1982,male,74.27,Japan
JPN,1983,male,74.25,Japan
JPN,1984,male,74.61,Japan
JPN,1985,male,74.9,Japan
JPN,1986,male,75.28,Japan
JPN,1987,male,75.65,Japan
JPN,1988,male,75.59,Japan
JPN,1989,male,75.97,Japan
JPN,1990,male,75.95,Japan
JPN,1991,male,76.16,Japan
JPN,1992,male,76.14,Japan
JPN,1993,male,76.27,Japan
JPN,1994,male,76.59,Japan
JPN,1995,male,76.42,Japan
JPN,1996,male,77.04,Japan
JPN,1997,male,77.25,Japan
JPN,1998,male,77.22,Japan
JPN,1999,male,77.18,Japan
JPN,2000,male,77.7,Japan
JPN,2001,male,78.03,Japan
JPN,2002,male,78.29,Japan
JPN,2003,male,78.34,Japan
JPN,2004,male,78.62,Japan
JPN,2005,male,78.52,Japan
JPN,2006,male,78.94,Japan
JPN,2007,male,79.13,Japan
JPN,2008,male,79.23,Japan
JPN,2009,male,79.54,Japan
JPN,2010,male,79.54,Japan
JPN,2011,male,79.44,Japan
JPN,2012,male,79.94,Japan
JPN,2013,male,80.22,Japan
JPN,2014,male,80.51,Japan
JPN,2015,male,80.78,Japan
JPN,2016,male,81.01,Japan
JPN,2017,male,81.13,Japan
GBR_NP,1975,male,69.51,United Kingdom
GBR_NP,1976,male,69.53,United Kingdom
GBR_NP,1977,male,70,United Kingdom
GBR_NP,1978,male,69.94,United Kingdom
GBR_NP,1979,male,70.06,United Kingdom
GBR_NP,1980,male,70.51,United Kingdom
GBR_NP,1981,male,70.85,United Kingdom
GBR_NP,1982,male,71.03,United Kingdom
GBR_NP,1983,male,71.27,United Kingdom
GBR_NP,1984,male,71.68,United Kingdom
GBR_NP,1985,male,71.61,United Kingdom
GBR_NP,1986,male,71.82,United Kingdom
GBR_NP,1987,male,72.21,United Kingdom
GBR_NP,1988,male,72.34,United Kingdom
GBR_NP,1989,male,72.58,United Kingdom
GBR_NP,1990,male,72.84,United Kingdom
GBR_NP,1991,male,73.08,United Kingdom
GBR_NP,1992,male,73.51,United Kingdom
GBR_NP,1993,male,73.44,United Kingdom
GBR_NP,1994,male,74,United Kingdom
GBR_NP,1995,male,73.93,United Kingdom
GBR_NP,1996,male,74.22,United Kingdom
GBR_NP,1997,male,74.57,United Kingdom
GBR_NP,1998,male,74.72,United Kingdom
GBR_NP,1999,male,74.87,United Kingdom
GBR_NP,2000,male,75.38,United Kingdom
GBR_NP,2001,male,75.7,United Kingdom
GBR_NP,2002,male,75.85,United Kingdom
GBR_NP,2003,male,76.07,United Kingdom
GBR_NP,2004,male,76.63,United Kingdom
GBR_NP,2005,male,76.91,United Kingdom
GBR_NP,2006,male,77.12,United Kingdom
GBR_NP,2007,male,77.36,United Kingdom
GBR_NP,2008,male,77.55,United Kingdom
GBR_NP,2009,male,78.03,United Kingdom
GBR_NP,2010,male,78.36,United Kingdom
GBR_NP,2011,male,78.78,United Kingdom
GBR_NP,2012,male,78.96,United Kingdom
GBR_NP,2013,male,79,United Kingdom
GBR_NP,2014,male,79.25,United Kingdom
GBR_NP,2015,male,79.04,United Kingdom
GBR_NP,2016,male,79.18,United Kingdom
USA,1975,male,68.72,USA
USA,1976,male,69.08,USA
USA,1977,male,69.41,USA
USA,1978,male,69.62,USA
USA,1979,male,70.01,USA
USA,1980,male,69.98,USA
USA,1981,male,70.41,USA
USA,1982,male,70.8,USA
USA,1983,male,70.97,USA
USA,1984,male,71.12,USA
USA,1985,male,71.08,USA
USA,1986,male,71.14,USA
USA,1987,male,71.31,USA
USA,1988,male,71.32,USA
USA,1989,male,71.6,USA
USA,1990,male,71.85,USA
USA,1991,male,72.03,USA
USA,1992,male,72.32,USA
USA,1993,male,72.17,USA
USA,1994,male,72.39,USA
USA,1995,male,72.59,USA
USA,1996,male,73.07,USA
USA,1997,male,73.54,USA
USA,1998,male,73.81,USA
USA,1999,male,73.92,USA
USA,2000,male,74.12,USA
USA,2001,male,74.27,USA
USA,2002,male,74.36,USA
USA,2003,male,74.54,USA
USA,2004,male,74.98,USA
USA,2005,male,74.98,USA
USA,2006,male,75.27,USA
USA,2007,male,75.56,USA
USA,2008,male,75.71,USA
USA,2009,male,76.09,USA
USA,2010,male,76.33,USA
USA,2011,male,76.42,USA
USA,2012,male,76.55,USA
USA,2013,male,76.56,USA
USA,2014,male,76.62,USA
USA,2015,male,76.46,USA
USA,2016,male,76.37,USA
USA,2017,male,76.32,USA
